        x     Chi(x)
---------  ---------
 1e-15     1
 0.20339   0.790376
 0.40678   0.655733
 0.610169  0.556826
 0.813559  0.480375
 1.01695   0.419405
 1.22034   0.369691
 1.42373   0.328463
 1.62712   0.293805
 1.83051   0.264341
 2.0339    0.239052
 2.23729   0.217168
 2.44068   0.198094
 2.64407   0.181362
 2.84746   0.1666
 3.05085   0.153511
 3.25424   0.141849
 3.45763   0.131416
 3.66102   0.122044
 3.86441   0.113596
 4.0678    0.105956
 4.27119   0.0990234
 4.47458   0.092716
 4.67797   0.0869616
 4.88136   0.0816983
 5.08475   0.0768729
 5.28814   0.0724389
 5.49153   0.0683561
 5.69492   0.0645891
 5.89831   0.061107
 6.10169   0.0578824
 6.30508   0.0548913
 6.50847   0.0521123
 6.71186   0.0495263
 6.91525   0.0471164
 7.11864   0.0448676
 7.32203   0.0427663
 7.52542   0.0408002
 7.72881   0.0389585
 7.9322    0.0372314
 8.13559   0.0356098
 8.33898   0.0340857
 8.54237   0.0326518
 8.74576   0.0313015
 8.94915   0.0300287
 9.15254   0.0288279
 9.35593   0.0276941
 9.55932   0.0266226
 9.76271   0.0256093
 9.9661    0.0246502
10.1695    0.0237419
10.3729    0.0228811
10.5763    0.0220647
10.7797    0.0212901
10.9831    0.0205546
11.1864    0.0198559
11.3898    0.0191918
11.5932    0.0185603
11.7966    0.0179596
12         0.0173879
        x      Chi'(x)
---------  -----------
 1e-15     -1.58807
 0.20339   -0.788909
 0.40678   -0.558949
 0.610169  -0.423707
 0.813559  -0.333544
 1.01695   -0.269365
 1.22034   -0.221712
 1.42373   -0.185242
 1.62712   -0.156675
 1.83051   -0.133882
 2.0339    -0.115416
 2.23729   -0.100261
 2.44068   -0.0876854
 2.64407   -0.0771494
 2.84746   -0.0682465
 3.05085   -0.0606665
 3.25424   -0.0541685
 3.45763   -0.0485638
 3.66102   -0.0437023
 3.86441   -0.0394636
 4.0678    -0.0357506
 4.27119   -0.0324836
 4.47458   -0.0295976
 4.67797   -0.0270383
 4.88136   -0.0247608
 5.08475   -0.0227274
 5.28814   -0.0209062
 5.49153   -0.0192703
 5.69492   -0.0177969
 5.89831   -0.0164663
 6.10169   -0.0152616
 6.30508   -0.0141685
 6.50847   -0.0131744
 6.71186   -0.0122683
 6.91525   -0.0114408
 7.11864   -0.0106837
 7.32203   -0.00998959
 7.52542   -0.00935216
 7.72881   -0.00876578
 7.9322    -0.00822547
 8.13559   -0.00772681
 8.33898   -0.0072659
 8.54237   -0.00683925
 8.74576   -0.00644375
 8.94915   -0.00607663
 9.15254   -0.00573539
 9.35593   -0.0054178
 9.55932   -0.00512185
 9.76271   -0.00484572
 9.9661    -0.00458779
10.1695    -0.00434657
10.3729    -0.00412073
10.5763    -0.00390904
10.7797    -0.00371042
10.9831    -0.00352385
11.1864    -0.00334842
11.3898    -0.0031833
11.5932    -0.00302772
11.7966    -0.00288098
12         -0.00274246
